biotype,symbol,cytoband/0,name,gene_id,is_cancer_gene_census,cytoband/1,cytoband/2
protein_coding,PCDHGB3,5q31.3,"protocadherin gamma subfamily B, 3",ENSG00000262209,,,
protein_coding,ATP5EP2,13q12.2,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2",ENSG00000180389,,,
protein_coding,NBEA,13q13.3,neurobeachin,ENSG00000172915,,,
protein_coding,ANKRD13D,11q13.2,"ankyrin repeat domain 13 family, member D",ENSG00000172932,,,
protein_coding,HECTD3,1p34.1,HECT domain containing E3 ubiquitin protein ligase 3,ENSG00000126107,,,
protein_coding,OR5J2,11q12.1,"olfactory receptor, family 5, subfamily J, member 2",ENSG00000174957,,,
protein_coding,KIF27,9q21.32,kinesin family member 27,ENSG00000165115,,,
miRNA,MIR5195,14q32.33,microRNA 5195,ENSG00000265929,,,
protein_coding,ERC1,12p13.33,ELKS/RAB6-interacting/CAST family member 1,ENSG00000082805,true,,
protein_coding,EMG1,12p13.31,EMG1 N1-specific pseudouridine methyltransferase,ENSG00000126749,,,
protein_coding,RNF216,7p22.1,ring finger protein 216,ENSG00000011275,,,
protein_coding,MBOAT2,2p25.1,membrane bound O-acyltransferase domain containing 2,ENSG00000143797,,,
protein_coding,MAT2B,5q34,"methionine adenosyltransferase II, beta",ENSG00000038274,,,
protein_coding,KDM2B,12q24.31,lysine (K)-specific demethylase 2B,ENSG00000089094,,,
protein_coding,GSK3A,19q13.2,glycogen synthase kinase 3 alpha,ENSG00000105723,,,
protein_coding,WAPAL,10q23.2,wings apart-like homolog (Drosophila),ENSG00000062650,,,
protein_coding,PDE9A,21q22.3,phosphodiesterase 9A,ENSG00000160191,,,
protein_coding,FAM9B,Xp22.31,"family with sequence similarity 9, member B",ENSG00000177138,,,
lincRNA,RP11-706O15.5,Xp22.33,RP11-706O15.5,ENSG00000205663,,,
protein_coding,DENR,12q24.31,density-regulated protein,ENSG00000139726,,,
unprocessed_pseudogene,OR7E35P,4p16.1,"olfactory receptor, family 7, subfamily E, member 35 pseudogene",ENSG00000250425,,,
protein_coding,SUN5,20q11.21,Sad1 and UNC84 domain containing 5,ENSG00000167098,,,
miRNA,MIR606,10q22.2,microRNA 606,ENSG00000207583,,,
protein_coding,DYNLRB1,20q11.22,"dynein, light chain, roadblock-type 1",ENSG00000125971,,,
protein_coding,ZNF366,5q13.2,zinc finger protein 366,ENSG00000178175,,,
protein_coding,TBC1D3,17q12,"TBC1 domain family, member 3",ENSG00000274611,,,
protein_coding,ZKSCAN8,6p22.1,zinc finger with KRAB and SCAN domains 8,ENSG00000198315,,,
protein_coding,FSHB,11p14.1,"follicle stimulating hormone, beta polypeptide",ENSG00000131808,,,
processed_transcript,STARD7-AS1,2q11.2,STARD7 antisense RNA 1,ENSG00000204685,,,
protein_coding,WBP1,2p13.1,WW domain binding protein 1,ENSG00000239779,,,
processed_pseudogene,GNG5P2,Xq23,"guanine nucleotide binding protein (G protein), gamma 5 pseudogene 2",ENSG00000133136,,,
lincRNA,ZNF667-AS1,19q13.43,ZNF667 antisense RNA 1 (head to head),ENSG00000166770,,,
protein_coding,MXD3,5q35.3,MAX dimerization protein 3,ENSG00000213347,,,
miRNA,AL132709.2,14q32.31,AL132709.2,ENSG00000198982,,,
protein_coding,ZFP37,9q32,ZFP37 zinc finger protein,ENSG00000136866,,,
protein_coding,PIPOX,17q11.2,pipecolic acid oxidase,ENSG00000179761,,,
protein_coding,ABCA3,16p13.3,"ATP-binding cassette, sub-family A (ABC1), member 3",ENSG00000167972,,,
protein_coding,SLC17A1,6p22.2,"solute carrier family 17 (organic anion transporter), member 1",ENSG00000124568,,,
protein_coding,KRT35,17q21.2,"keratin 35, type I",ENSG00000197079,,,
protein_coding,GRSF1,4q13.3,G-rich RNA sequence binding factor 1,ENSG00000132463,,,
protein_coding,GGA3,17q25.1,"golgi-associated, gamma adaptin ear containing, ARF binding protein 3",ENSG00000125447,,,
protein_coding,WDR74,11q12.3,WD repeat domain 74,ENSG00000133316,,,
protein_coding,ATP2B1,12q21.33,"ATPase, Ca++ transporting, plasma membrane 1",ENSG00000070961,,,
protein_coding,AMY1A,1p21.1,"amylase, alpha 1A (salivary)",ENSG00000237763,,,
protein_coding,AL645922.1,6p21.33,AL645922.1,ENSG00000279546,,,
protein_coding,FNIP1,5q31.1,folliculin interacting protein 1,ENSG00000217128,,,
protein_coding,MAP2K6,17q24.3,mitogen-activated protein kinase kinase 6,ENSG00000108984,,,
protein_coding,PI4K2B,4p15.2,phosphatidylinositol 4-kinase type 2 beta,ENSG00000038210,,,
protein_coding,ALDH1B1,9p13.1,"aldehyde dehydrogenase 1 family, member B1",ENSG00000137124,,,
protein_coding,MBTPS1,16q23.3,"membrane-bound transcription factor peptidase, site 1",ENSG00000140943,,16q24.1,
protein_coding,TUBGCP3,13q34,"tubulin, gamma complex associated protein 3",ENSG00000126216,,,
protein_coding,ATP1B2,17p13.1,"ATPase, Na+/K+ transporting, beta 2 polypeptide",ENSG00000129244,,,
protein_coding,RPS2,16p13.3,ribosomal protein S2,ENSG00000140988,,,
protein_coding,RHO,3q22.1,rhodopsin,ENSG00000163914,,,
protein_coding,TMEM57,1p36.11,transmembrane protein 57,ENSG00000204178,,,
antisense,HPN-AS1,19q13.11,HPN antisense RNA 1,ENSG00000227392,,19q13.12,
protein_coding,DET1,15q25.3,de-etiolated homolog 1 (Arabidopsis),ENSG00000140543,,15q26.1,
protein_coding,YIPF6,Xq12,"Yip1 domain family, member 6",ENSG00000181704,,Xq13.1,
lincRNA,LINC00602,6q27,long intergenic non-protein coding RNA 602,ENSG00000281832,,,
protein_coding,STX18,4p16.3,syntaxin 18,ENSG00000168818,,4p16.2,
lincRNA,RP11-88H9.2,1p13.2,RP11-88H9.2,ENSG00000231437,,,
protein_coding,OR7G1,19p13.2,"olfactory receptor, family 7, subfamily G, member 1",ENSG00000161807,,,
transcribed_processed_pseudogene,NUP210P1,3q21.3,nucleoporin 210kDa pseudogene 1,ENSG00000198284,,,
protein_coding,ATRN,20p13,attractin,ENSG00000088812,,,
protein_coding,CDC14A,1p21.2,cell division cycle 14A,ENSG00000079335,,,
protein_coding,CLIP1,12q24.31,CAP-GLY domain containing linker protein 1,ENSG00000130779,true,,
protein_coding,RP11-449H3.3,5q32,RP11-449H3.3,ENSG00000275740,,,
lincRNA,LINC01552,,long intergenic non-protein coding RNA 1552,ENSG00000204566,,,
protein_coding,RP1-321E8.5,Xq24,RP1-321E8.5,ENSG00000278646,,,
protein_coding,PEX11B,1q21.1,peroxisomal biogenesis factor 11 beta,ENSG00000131779,,,
protein_coding,UBQLN1,9q21.32,ubiquilin 1,ENSG00000135018,,,
protein_coding,AC073657.1,15q15.1,AC073657.1,ENSG00000279937,,,
protein_coding,KCNIP3,2q11.1,"Kv channel interacting protein 3, calsenilin",ENSG00000115041,,,
lincRNA,LINC00643,14q23.2,long intergenic non-protein coding RNA 643,ENSG00000186369,,,
protein_coding,PAF1,19q13.2,"Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)",ENSG00000006712,,,
protein_coding,BRE,2p23.2,brain and reproductive organ-expressed (TNFRSF1A modulator),ENSG00000158019,,,
unprocessed_pseudogene,AC090958.5,3p25.2,AC090958.5,ENSG00000251038,,,
protein_coding,MUC7,4q13.3,"mucin 7, secreted",ENSG00000171195,,,
protein_coding,IFT88,13q12.11,intraflagellar transport 88,ENSG00000032742,,,
protein_coding,MFSD8,4q28.2,major facilitator superfamily domain containing 8,ENSG00000164073,,,
protein_coding,SRSF1,17q22,serine/arginine-rich splicing factor 1,ENSG00000136450,,,
protein_coding,EVA1A,2p12,eva-1 homolog A (C. elegans),ENSG00000115363,,,
snoRNA,SNORD115-4,15q11.2,"small nucleolar RNA, C/D box 115-4",ENSG00000200680,,,
protein_coding,TTC34,1p36.32,tetratricopeptide repeat domain 34,ENSG00000215912,,,
protein_coding,OR52E5,11p15.4,"olfactory receptor, family 52, subfamily E, member 5",ENSG00000277932,,,
processed_pseudogene,HS6ST1P1,1p36.12,heparan sulfate 6-O-sulfotransferase 1 pseudogene 1,ENSG00000187952,,,
protein_coding,SYNGR4,19q13.33,synaptogyrin 4,ENSG00000105467,,,
protein_coding,MFSD5,12q13.13,major facilitator superfamily domain containing 5,ENSG00000182544,,,
protein_coding,CTBS,1p22.3,"chitobiase, di-N-acetyl-",ENSG00000117151,,,
protein_coding,RP11-296A16.1,15q15.3,RP11-296A16.1,ENSG00000262560,,,
protein_coding,BRD8,5q31.2,bromodomain containing 8,ENSG00000112983,,,
protein_coding,TDP1,14q32.11,tyrosyl-DNA phosphodiesterase 1,ENSG00000042088,,,
protein_coding,GPM6A,4q34.2,glycoprotein M6A,ENSG00000150625,,,
protein_coding,BCKDHB,6q14.1,"branched chain keto acid dehydrogenase E1, beta polypeptide",ENSG00000083123,,,
protein_coding,TMEM119,12q23.3,transmembrane protein 119,ENSG00000183160,,,
protein_coding,DYNC1I2,2q31.1,"dynein, cytoplasmic 1, intermediate chain 2",ENSG00000077380,,,
protein_coding,AC069499.1,3q13.13,AC069499.1,ENSG00000280684,,,
protein_coding,POP7,7q22.1,"processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)",ENSG00000172336,,,
protein_coding,PPIL3,2q33.1,peptidylprolyl isomerase (cyclophilin)-like 3,ENSG00000240344,,,
unprocessed_pseudogene,CLEC4GP1,19p13.2,"C-type lectin domain family 4, member G pseudogene 1",ENSG00000268297,,,
protein_coding,NCBP1,9q22.33,"nuclear cap binding protein subunit 1, 80kDa",ENSG00000136937,,,
protein_coding,VNN1,6q23.2,vanin 1,ENSG00000112299,,,
lincRNA,AC138647.1,8q24.3,AC138647.1,ENSG00000226490,,,
miRNA,MIR4280,5q14.3,microRNA 4280,ENSG00000265919,,,
protein_coding,INTS8,8q22.1,integrator complex subunit 8,ENSG00000164941,,,
protein_coding,PSG4,19q13.31,pregnancy specific beta-1-glycoprotein 4,ENSG00000243137,,,
protein_coding,CRLF2,Xp22.33,cytokine receptor-like factor 2,ENSG00000205755,true,,
protein_coding,SEBOX,17q11.2,SEBOX homeobox,ENSG00000274529,,,
protein_coding,PCED1A,20p13,PC-esterase domain containing 1A,ENSG00000132635,,,
processed_pseudogene,EIF3IP1,7q31.1,"eukaryotic translation initiation factor 3, subunit I pseudogene 1",ENSG00000237064,,,
protein_coding,HIST1H4L,6p22.1,"histone cluster 1, H4l",ENSG00000275126,,,
protein_coding,TBC1D14,4p16.1,"TBC1 domain family, member 14",ENSG00000132405,,,
protein_coding,GYLTL1B,11p11.2,glycosyltransferase-like 1B,ENSG00000165905,,,
processed_transcript,MIR663AHG,20p11.1,MIR663A host gene,ENSG00000227195,,,
protein_coding,MS4A4E,11q12.2,"membrane-spanning 4-domains, subfamily A, member 4E",ENSG00000214787,,,
protein_coding,CDKL1,14q21.3,cyclin-dependent kinase-like 1 (CDC2-related kinase),ENSG00000100490,,14q22.1,
protein_coding,ADD1,4p16.3,adducin 1 (alpha),ENSG00000087274,,,
protein_coding,CKLF,16q21,chemokine-like factor,ENSG00000217555,,,
protein_coding,DCAF16,4p15.31,DDB1 and CUL4 associated factor 16,ENSG00000163257,,,
protein_coding,PATZ1,22q12.2,POZ (BTB) and AT hook containing zinc finger 1,ENSG00000100105,true,,
protein_coding,UCK1,9q34.13,uridine-cytidine kinase 1,ENSG00000130717,,,
protein_coding,TP53TG3C,16p11.2,TP53 target 3C,ENSG00000205457,,,
snoRNA,SNORD115-12,15q11.2,"small nucleolar RNA, C/D box 115-12",ENSG00000199453,,,
protein_coding,EPB41L4B,9q31.3,erythrocyte membrane protein band 4.1 like 4B,ENSG00000095203,,,
protein_coding,COLQ,3p25.1,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase,ENSG00000206561,,,
protein_coding,DDOST,1p36.12,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic),ENSG00000244038,,,
transcribed_unprocessed_pseudogene,LRRC37A5P,9q31.3,"leucine rich repeat containing 37, member A5, pseudogene",ENSG00000204173,,,
protein_coding,COPZ2,17q21.32,"coatomer protein complex, subunit zeta 2",ENSG00000005243,,,
protein_coding,WDR72,15q21.3,WD repeat domain 72,ENSG00000166415,,,
antisense,RP3-510L9.1,6p24.2,RP3-510L9.1,ENSG00000247925,,,
protein_coding,RCCD1,15q26.1,RCC1 domain containing 1,ENSG00000166965,,,
protein_coding,MUC5AC,11p15.5,"mucin 5AC, oligomeric mucus/gel-forming",ENSG00000215182,,,
protein_coding,ZNF622,5p15.1,zinc finger protein 622,ENSG00000173545,,,
protein_coding,ACCSL,11p11.2,1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like,ENSG00000205126,,,
protein_coding,METTL4,18p11.32,methyltransferase like 4,ENSG00000101574,,,
protein_coding,TAAR5,6q23.2,trace amine associated receptor 5,ENSG00000135569,,,
protein_coding,OR52L1,11p15.4,"olfactory receptor, family 52, subfamily L, member 1",ENSG00000183313,,,
protein_coding,CYP3A43,7q22.1,"cytochrome P450, family 3, subfamily A, polypeptide 43",ENSG00000021461,,,
protein_coding,TRPM3,9q21.12,"transient receptor potential cation channel, subfamily M, member 3",ENSG00000083067,,9q21.13,
protein_coding,LHX8,1p31.1,LIM homeobox 8,ENSG00000162624,,,
snoRNA,SNORD3B-2,17p11.2,"small nucleolar RNA, C/D box 3B-2",ENSG00000262074,,,
miRNA,MIR3147,7p11.2,microRNA 3147,ENSG00000266168,,,
protein_coding,COX6A2,16p11.2,cytochrome c oxidase subunit VIa polypeptide 2,ENSG00000156885,,,
protein_coding,KAT8,16p11.2,K(lysine) acetyltransferase 8,ENSG00000103510,,,
protein_coding,KDELC1,13q33.1,KDEL (Lys-Asp-Glu-Leu) containing 1,ENSG00000134901,,,
protein_coding,WDR46,6p21.32,WD repeat domain 46,ENSG00000227057,,,
protein_coding,LYRM9,17q11.2,LYR motif containing 9,ENSG00000232859,,,
protein_coding,GJC3,7q22.1,"gap junction protein, gamma 3, 30.2kDa",ENSG00000176402,,,
miRNA,AC244205.1,,AC244205.1,ENSG00000221686,,,
protein_coding,RFC3,13q13.2,"replication factor C (activator 1) 3, 38kDa",ENSG00000133119,,,
protein_coding,EPN1,19q13.42,epsin 1,ENSG00000063245,,,
protein_coding,SMC4,3q25.33,structural maintenance of chromosomes 4,ENSG00000113810,,,
protein_coding,CHD8,14q11.2,chromodomain helicase DNA binding protein 8,ENSG00000100888,,,
protein_coding,GCM1,6p12.1,glial cells missing homolog 1 (Drosophila),ENSG00000137270,,,
protein_coding,PRSS50,3p21.31,"protease, serine, 50",ENSG00000206549,,,
protein_coding,TSPYL2,Xp11.22,TSPY-like 2,ENSG00000184205,,,
transcribed_unprocessed_pseudogene,RPL39P34,19q13.41,ribosomal protein L39 pseudogene 34,ENSG00000242255,,,
protein_coding,SLC25A15,13q14.11,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15,ENSG00000102743,,,
protein_coding,TAOK2,16p11.2,TAO kinase 2,ENSG00000149930,,,
protein_coding,RSPO3,6q22.33,R-spondin 3,ENSG00000146374,true,,
protein_coding,FGF2,4q28.1,fibroblast growth factor 2 (basic),ENSG00000138685,,,
protein_coding,LMLN,3q29,leishmanolysin-like (metallopeptidase M8 family),ENSG00000185621,,,
protein_coding,OR5T1,11q12.1,"olfactory receptor, family 5, subfamily T, member 1",ENSG00000181698,,,
protein_coding,CNST,1q44,"consortin, connexin sorting protein",ENSG00000162852,,,
protein_coding,KIAA0895,7p14.2,KIAA0895,ENSG00000164542,,,
protein_coding,SLC25A31,4q28.1,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31",ENSG00000151475,,,
protein_coding,MED13L,12q24.21,mediator complex subunit 13-like,ENSG00000123066,,,
protein_coding,TIMP1,Xp11.3,TIMP metallopeptidase inhibitor 1,ENSG00000102265,,,
protein_coding,RALBP1,18p11.22,ralA binding protein 1,ENSG00000017797,,,
protein_coding,IRF2BPL,14q24.3,interferon regulatory factor 2 binding protein-like,ENSG00000119669,,,
protein_coding,TSR3,16p13.3,"TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)",ENSG00000007520,,,
protein_coding,ATXN1L,16q22.2,ataxin 1-like,ENSG00000224470,,,
protein_coding,AUP1,2p13.1,ancient ubiquitous protein 1,ENSG00000115307,,,
protein_coding,NBPF3,1p36.12,"neuroblastoma breakpoint family, member 3",ENSG00000142794,,,
protein_coding,HOOK2,19p13.13,hook microtubule-tethering protein 2,ENSG00000095066,,,
protein_coding,C10orf2,10q24.31,chromosome 10 open reading frame 2,ENSG00000107815,,,
protein_coding,RP11-73M18.2,14q32.33,RP11-73M18.2,ENSG00000256500,,,
protein_coding,ATP5O,21q22.11,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",ENSG00000241837,,,
protein_coding,RRAGB,Xp11.21,Ras-related GTP binding B,ENSG00000083750,,,
protein_coding,PDCD5,19q13.11,programmed cell death 5,ENSG00000105185,,,
protein_coding,GABRA3,Xq28,"gamma-aminobutyric acid (GABA) A receptor, alpha 3",ENSG00000011677,,,
protein_coding,ATIC,2q35,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,ENSG00000138363,true,,
protein_coding,CMTM7,3p22.3,CKLF-like MARVEL transmembrane domain containing 7,ENSG00000153551,,,
protein_coding,HIST1H3A,6p22.2,"histone cluster 1, H3a",ENSG00000275714,,,
IG_V_gene,IGLV2-23,22q11.22,immunoglobulin lambda variable 2-23,ENSG00000211660,,,
lincRNA,MIR2052HG,8q21.11,MIR2052 host gene,ENSG00000254349,,8q21.12,8q21.13
protein_coding,MYO10,5p15.1,myosin X,ENSG00000145555,,,
protein_coding,ZNF140,12q24.33,zinc finger protein 140,ENSG00000196387,,,
protein_coding,AL365181.2,1q22,AL365181.2,ENSG00000280316,,,
protein_coding,DSP,6p24.3,desmoplakin,ENSG00000096696,,,
protein_coding,REL,2p16.1,v-rel avian reticuloendotheliosis viral oncogene homolog,ENSG00000162924,true,,
protein_coding,ST8SIA4,5q21.1,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",ENSG00000113532,,,
unprocessed_pseudogene,ALG1L3P,4p16.1,"asparagine-linked glycosylation 1-like 3, pseudogene",ENSG00000251087,,,
miRNA,MIR6511A3,16p13.11,microRNA 6511a-3,ENSG00000276311,,,
snoRNA,SNORD115-40,15q11.2,"small nucleolar RNA, C/D box 115-40",ENSG00000272460,,,
protein_coding,RP11-637O19.3,6p24.2,RP11-637O19.3,ENSG00000272162,,,
protein_coding,OSBPL9,1p32.3,oxysterol binding protein-like 9,ENSG00000117859,,,
transcribed_unprocessed_pseudogene,RP11-578F21.10,15q13.1,RP11-578F21.10,ENSG00000232431,,,
protein_coding,B2M,15q21.1,beta-2-microglobulin,ENSG00000166710,,,
protein_coding,CLVS1,8q12.2,clavesin 1,ENSG00000177182,,8q12.3,
lincRNA,RP11-19P22.5,17q11.2,RP11-19P22.5,ENSG00000265788,,,
protein_coding,OR10K1,1q23.1,"olfactory receptor, family 10, subfamily K, member 1",ENSG00000173285,,,
protein_coding,UGT1A3,2q37.1,"UDP glucuronosyltransferase 1 family, polypeptide A3",ENSG00000243135,,,
protein_coding,RPS19,19q13.2,ribosomal protein S19,ENSG00000105372,,,
protein_coding,CEP162,6q14.2,centrosomal protein 162kDa,ENSG00000135315,,6q14.3,
protein_coding,UBE2B,5q31.1,ubiquitin-conjugating enzyme E2B,ENSG00000119048,,,
protein_coding,FSBP,8q22.1,fibrinogen silencer binding protein,ENSG00000265817,,,
miRNA,MIR8074,19q13.41,microRNA 8074,ENSG00000278617,,,
protein_coding,FAM45A,10q26.11,"family with sequence similarity 45, member A",ENSG00000119979,,,
miRNA,MIR514A2,Xq27.3,microRNA 514a-2,ENSG00000207866,,,
protein_coding,CDC42BPG,11q13.1,CDC42 binding protein kinase gamma (DMPK-like),ENSG00000171219,,,
protein_coding,GTPBP4,10p15.3,GTP binding protein 4,ENSG00000107937,,,
protein_coding,TRIM8,10q24.32,tripartite motif containing 8,ENSG00000171206,,,
protein_coding,CELF1,11p11.2,"CUGBP, Elav-like family member 1",ENSG00000149187,,,
protein_coding,ATP5S,14q21.3,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)",ENSG00000125375,,,
transcribed_processed_pseudogene,ST13P20,1p31.1,suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 20,ENSG00000215875,,,
protein_coding,LRP2BP,4q35.1,LRP2 binding protein,ENSG00000109771,,,
protein_coding,C10orf32-ASMT,10q24.32,C10orf32-ASMT readthrough (NMD candidate),ENSG00000270316,,,
protein_coding,UBAP1L,15q22.31,ubiquitin associated protein 1-like,ENSG00000246922,,,
protein_coding,NPAS1,19q13.32,neuronal PAS domain protein 1,ENSG00000130751,,,
protein_coding,DCLK1,13q13.3,doublecortin-like kinase 1,ENSG00000133083,,,
protein_coding,ACBD7,10p13,acyl-CoA binding domain containing 7,ENSG00000176244,,,
protein_coding,NUP155,5p13.2,nucleoporin 155kDa,ENSG00000113569,,,
protein_coding,GCA,2q24.2,"grancalcin, EF-hand calcium binding protein",ENSG00000115271,,,
protein_coding,FOXH1,8q24.3,forkhead box H1,ENSG00000160973,,,
protein_coding,HS3ST1,4p15.33,heparan sulfate (glucosamine) 3-O-sulfotransferase 1,ENSG00000002587,,,
protein_coding,HIGD1B,17q21.31,"HIG1 hypoxia inducible domain family, member 1B",ENSG00000131097,,,
protein_coding,SIRPB1,20p13,signal-regulatory protein beta 1,ENSG00000101307,,,
protein_coding,VNN2,6q23.2,vanin 2,ENSG00000112303,,,
protein_coding,ATP5G1,17q21.32,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)",ENSG00000159199,,,
protein_coding,C18orf65,18q23,chromosome 18 open reading frame 65,ENSG00000275763,,,
protein_coding,NRIP1,21q11.2,nuclear receptor interacting protein 1,ENSG00000180530,,21q21.1,
protein_coding,TAPBPL,12p13.31,TAP binding protein-like,ENSG00000139192,,,
protein_coding,TRIM31,6p22.1,tripartite motif containing 31,ENSG00000204616,,,
protein_coding,ARHGAP21,10p12.1,Rho GTPase activating protein 21,ENSG00000107863,,,
protein_coding,LCMT2,15q15.3,leucine carboxyl methyltransferase 2,ENSG00000168806,,,
unprocessed_pseudogene,RP11-346J10.3,5q21.1,RP11-346J10.3,ENSG00000273957,,,
protein_coding,SOX11,2p25.2,SRY (sex determining region Y)-box 11,ENSG00000176887,,,
protein_coding,USP22,17p11.2,ubiquitin specific peptidase 22,ENSG00000124422,,,
protein_coding,SLC6A5,11p15.1,"solute carrier family 6 (neurotransmitter transporter), member 5",ENSG00000165970,,,
protein_coding,WFDC8,20q13.12,WAP four-disulfide core domain 8,ENSG00000158901,,,
protein_coding,ATF7,12q13.13,activating transcription factor 7,ENSG00000170653,,,
lincRNA,C9orf170,9q21.33,chromosome 9 open reading frame 170,ENSG00000204446,,,
protein_coding,TMCC3,12q22,transmembrane and coiled-coil domain family 3,ENSG00000057704,,,
protein_coding,HIST1H3B,6p22.2,"histone cluster 1, H3b",ENSG00000274267,,,
protein_coding,C7orf26,7p22.1,chromosome 7 open reading frame 26,ENSG00000146576,,,
protein_coding,GOT1,10q24.2,"glutamic-oxaloacetic transaminase 1, soluble",ENSG00000120053,,,
protein_coding,CNTNAP4,16q23.1,contactin associated protein-like 4,ENSG00000152910,,,
protein_coding,GPR158,10p12.1,G protein-coupled receptor 158,ENSG00000151025,,,
lincRNA,RP11-244M2.1,18q12.2,RP11-244M2.1,ENSG00000267374,,18q12.3,
miRNA,MIR106A,,microRNA 106a,ENSG00000207602,,,
protein_coding,AZIN2,1p35.1,antizyme inhibitor 2,ENSG00000142920,,,
protein_coding,DCTN3,9p13.3,dynactin 3 (p22),ENSG00000137100,,,
protein_coding,IFITM3,11p15.5,interferon induced transmembrane protein 3,ENSG00000142089,,,
protein_coding,PDCD11,10q24.33,programmed cell death 11,ENSG00000148843,,,
protein_coding,MED13,17q23.2,mediator complex subunit 13,ENSG00000108510,,,
transcribed_unprocessed_pseudogene,RP11-114H24.4,15q24.3,RP11-114H24.4,ENSG00000214646,,,
protein_coding,USP30,12q24.11,ubiquitin specific peptidase 30,ENSG00000135093,,,
protein_coding,DDX54,12q24.13,DEAD (Asp-Glu-Ala-Asp) box polypeptide 54,ENSG00000123064,,,
protein_coding,CXorf58,Xp22.11,chromosome X open reading frame 58,ENSG00000165182,,,
protein_coding,SLC2A12,6q23.2,"solute carrier family 2 (facilitated glucose transporter), member 12",ENSG00000146411,,,
protein_coding,NCBP2,3q29,"nuclear cap binding protein subunit 2, 20kDa",ENSG00000114503,,,
antisense,AP001347.6,21q11.2,AP001347.6,ENSG00000224905,,,
lincRNA,LINC01235,9p23,long intergenic non-protein coding RNA 1235,ENSG00000270547,,,
protein_coding,KRT1,12q13.13,"keratin 1, type II",ENSG00000167768,,,
protein_coding,FAM110B,8q12.1,"family with sequence similarity 110, member B",ENSG00000169122,,,
IG_V_gene,IGHV4-4,14q32.33,immunoglobulin heavy variable 4-4,ENSG00000276775,,,
protein_coding,CEACAM18,19q13.41,carcinoembryonic antigen-related cell adhesion molecule 18,ENSG00000213822,,,
protein_coding,RASSF3,12q14.2,Ras association (RalGDS/AF-6) domain family member 3,ENSG00000153179,,,
protein_coding,F9,Xq27.1,coagulation factor IX,ENSG00000101981,,,
protein_coding,KCNA1,12p13.32,"potassium channel, voltage gated shaker related subfamily A, member 1",ENSG00000111262,,,
protein_coding,MAML3,4q31.1,mastermind-like 3 (Drosophila),ENSG00000196782,,,
antisense,AC073842.19,7q22.1,AC073842.19,ENSG00000235077,,,
protein_coding,FAM173A,16p13.3,"family with sequence similarity 173, member A",ENSG00000103254,,,
polymorphic_pseudogene,MROH5,8q24.3,maestro heat-like repeat family member 5,ENSG00000226807,,,
processed_pseudogene,DDX10P2,9q21.32,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10 pseudogene 2,ENSG00000230360,,,
lincRNA,MIR325HG,Xq13.3,MIR325 host gene,ENSG00000280870,,Xq21.1,
protein_coding,TEX37,2p11.2,testis expressed 37,ENSG00000172073,,,
protein_coding,GGT5,22q11.23,gamma-glutamyltransferase 5,ENSG00000099998,,,
protein_coding,KCNJ14,19q13.33,"potassium channel, inwardly rectifying subfamily J, member 14",ENSG00000182324,,,
protein_coding,APEX1,14q11.2,APEX nuclease (multifunctional DNA repair enzyme) 1,ENSG00000100823,,,
protein_coding,CDK4,12q14.1,cyclin-dependent kinase 4,ENSG00000135446,true,,
antisense,BVES-AS1,6q21,BVES antisense RNA 1,ENSG00000203808,,,
processed_transcript,PDXDC2P,16q22.1,"pyridoxal-dependent decarboxylase domain containing 2, pseudogene",ENSG00000196696,,,
protein_coding,HIST1H2BL,6p22.1,"histone cluster 1, H2bl",ENSG00000185130,,,
protein_coding,SPEN,1p36.21,spen family transcriptional repressor,ENSG00000065526,true,1p36.13,
protein_coding,ANTXRL,10q11.22,anthrax toxin receptor-like,ENSG00000274209,,,
protein_coding,SPECC1L,22q11.23,sperm antigen with calponin homology and coiled-coil domains 1-like,ENSG00000100014,,,
protein_coding,SPIN2B,Xp11.21,"spindlin family, member 2B",ENSG00000186787,,,
protein_coding,DOCK3,3p21.2,dedicator of cytokinesis 3,ENSG00000088538,,,
transcribed_unprocessed_pseudogene,RP11-271K11.5,17q11.2,RP11-271K11.5,ENSG00000265798,,,
protein_coding,MAGEA4,Xq28,melanoma antigen family A4,ENSG00000147381,,,
protein_coding,LRRC43,12q24.31,leucine rich repeat containing 43,ENSG00000158113,,,
