name,cytoband,gene_id,symbol,biotype
atypical chemokine receptor 2,3p22.1,ENSG00000144648,ACKR2,protein_coding
BLOC1S5-TXNDC5 readthrough (NMD candidate),6p24.3,ENSG00000259040,BLOC1S5-TXNDC5,protein_coding
"ATP-binding cassette, sub-family C (CFTR/MRP), member 11",16q12.1,ENSG00000121270,ABCC11,protein_coding
myotubularin related protein 4,17q22,ENSG00000108389,MTMR4,protein_coding
transmembrane protein 80,11p15.5,ENSG00000177042,TMEM80,protein_coding
mitogen-activated protein kinase-activated protein kinase 3,3p21.2,ENSG00000114738,MAPKAPK3,protein_coding
paraneoplastic Ma antigen family-like 1,19q13.32,ENSG00000182013,PNMAL1,protein_coding
embryonal Fyn-associated substrate,14q11.2,ENSG00000100842,EFS,protein_coding
transmembrane protein 52B,12p13.2,ENSG00000165685,TMEM52B,protein_coding
UHRF1 binding protein 1,6p21.31,ENSG00000065060,UHRF1BP1,protein_coding
hepatitis A virus cellular receptor 1,5q33.3,ENSG00000113249,HAVCR1,protein_coding
testis expressed 43,5q23.2,ENSG00000196900,TEX43,protein_coding
insulin receptor substrate 2,13q34,ENSG00000185950,IRS2,protein_coding
breast cancer metastasis-suppressor 1-like,14q13.2,ENSG00000100916,BRMS1L,protein_coding
microRNA 758,14q32.31,ENSG00000211582,MIR758,miRNA
"solute carrier family 35, member E4",22q12.2,ENSG00000100036,SLC35E4,protein_coding
TP53RK binding protein,2p13.1,ENSG00000144034,TPRKB,protein_coding
"Cbl proto-oncogene B, E3 ubiquitin protein ligase",3q13.11,ENSG00000114423,CBLB,protein_coding
RP11-302B13.5,12q13.12,ENSG00000272822,RP11-302B13.5,protein_coding
immunoglobulin heavy variable 3/OR16-8 (non-functional),16p11.2,ENSG00000271130,IGHV3OR16-8,IG_V_gene
asparagine synthetase (glutamine-hydrolyzing),7q21.3,ENSG00000070669,ASNS,protein_coding
eukaryotic translation initiation factor 2 alpha kinase 4,15q15.1,ENSG00000128829,EIF2AK4,protein_coding
chromosome 4 open reading frame 46,4q32.1,ENSG00000205208,C4orf46,protein_coding
"coatomer protein complex, subunit gamma 1",3q21.3,ENSG00000181789,COPG1,protein_coding
olfactomedin-like 1,11p15.4,ENSG00000183801,OLFML1,protein_coding
"malic enzyme 2, NAD(+)-dependent, mitochondrial",18q21.2,ENSG00000082212,ME2,protein_coding
chromosome 16 open reading frame 96,16p13.3,ENSG00000205832,C16orf96,protein_coding
spermatogenesis and centriole associated 1,8q24.3,ENSG00000186583,SPATC1,protein_coding
proline rich 7 (synaptic),5q35.3,ENSG00000131188,PRR7,protein_coding
N-myc downstream regulated 1,8q24.22,ENSG00000104419,NDRG1,protein_coding
acyl-CoA binding domain containing 6,1q25.2,ENSG00000230124,ACBD6,protein_coding
ladybird homeobox 1,10q24.32,ENSG00000138136,LBX1,protein_coding
Y box binding protein 2,17p13.1,ENSG00000006047,YBX2,protein_coding
chromodomain helicase DNA binding protein 1-like,1q21.1,ENSG00000131778,CHD1L,protein_coding
RP11-170L3.7,16p11.2,ENSG00000197476,RP11-170L3.7,processed_pseudogene
"protocadherin gamma subfamily B, 2",5q31.3,ENSG00000253910,PCDHGB2,protein_coding
Fc receptor-like B,1q23.3,ENSG00000162746,FCRLB,protein_coding
"GTPase, IMAP family member 4",7q36.1,ENSG00000133574,GIMAP4,protein_coding
transketolase-like 1,Xq28,ENSG00000007350,TKTL1,protein_coding
microRNA 891b,Xq27.3,ENSG00000216064,MIR891B,miRNA
"KH domain containing, RNA binding, signal transduction associated 1",1p35.2,ENSG00000121774,KHDRBS1,protein_coding
"serine peptidase inhibitor, Kazal type 1",5q32,ENSG00000164266,SPINK1,protein_coding
flap structure-specific endonuclease 1,11q12.2,ENSG00000168496,FEN1,protein_coding
sphingosine-1-phosphate phosphatase 1,14q23.2,ENSG00000126821,SGPP1,protein_coding
"TBC1 domain family, member 3 pseudogene 2",17q23.2,ENSG00000188755,TBC1D3P2,transcribed_unprocessed_pseudogene
LIM domains containing 1,3p21.31,ENSG00000144791,LIMD1,protein_coding
"CCR4-NOT transcription complex, subunit 10",3p22.3,ENSG00000182973,CNOT10,protein_coding
multiple EGF-like-domains 10,5q23.2,ENSG00000145794,MEGF10,protein_coding
bone morphogenetic protein 15,Xp11.22,ENSG00000130385,BMP15,protein_coding
"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1",11q13.3,ENSG00000131626,PPFIA1,protein_coding
junctional adhesion molecule 3,11q25,ENSG00000166086,JAM3,protein_coding
RP11-529E10.6,4p16.3,ENSG00000261643,RP11-529E10.6,sense_overlapping
ankyrin repeat and SOCS box containing 18,2q37.2,ENSG00000182177,ASB18,protein_coding
"CWF19-like 2, cell cycle control (S. pombe)",11q22.3,ENSG00000152404,CWF19L2,protein_coding
CD1e molecule,1q23.1,ENSG00000158488,CD1E,protein_coding
POU class 1 homeobox 1,3p11.2,ENSG00000064835,POU1F1,protein_coding
"zinc finger, DHHC-type containing 1",16q22.1,ENSG00000159714,ZDHHC1,protein_coding
heterogeneous nuclear ribonucleoprotein L-like,2p22.1,ENSG00000143889,HNRNPLL,protein_coding
"protein kinase, X-linked",Xp22.33,ENSG00000183943,PRKX,protein_coding
"transforming, acidic coiled-coil containing protein 3",4p16.3,ENSG00000013810,TACC3,protein_coding
dehydrogenase/reductase (SDR family) member 7C,17p13.1,ENSG00000184544,DHRS7C,protein_coding
POM121 transmembrane nucleoporin-like 12,7p12.1,ENSG00000221900,POM121L12,protein_coding
zinc finger protein 747,16p11.2,ENSG00000261459,ZNF747,protein_coding
ADP-ribosylation factor GTPase activating protein 2,11p11.2,ENSG00000149182,ARFGAP2,protein_coding
EP300 interacting inhibitor of differentiation 2,19q13.2,ENSG00000176396,EID2,protein_coding
BPI fold containing family C,22q12.3,ENSG00000184459,BPIFC,protein_coding
"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13",19p13.11,ENSG00000186010,NDUFA13,protein_coding
small ArfGAP2,1p34.2,ENSG00000084070,SMAP2,protein_coding
"pyrin and HIN domain family, member 1",1q23.1,ENSG00000163564,PYHIN1,protein_coding
NIMA-related kinase 5,13q14.3,ENSG00000197168,NEK5,protein_coding
immunoglobulin heavy variable 4-34,14q32.33,ENSG00000211956,IGHV4-34,IG_V_gene
mitogen-activated protein kinase binding protein 1,15q15.1,ENSG00000137802,MAPKBP1,protein_coding
PX domain containing serine/threonine kinase,3p14.3,ENSG00000168297,PXK,protein_coding
deoxyhypusine hydroxylase/monooxygenase,19p13.3,ENSG00000129932,DOHH,protein_coding
"solute carrier family 38, member 4",12q13.11,ENSG00000139209,SLC38A4,protein_coding
"solute carrier family 39 (zinc transporter), member 7",6p21.32,ENSG00000112473,SLC39A7,protein_coding
ubiquitin specific peptidase 16,21q21.3,ENSG00000156256,USP16,protein_coding
activating signal cointegrator 1 complex subunit 2,22q12.2,ENSG00000100325,ASCC2,protein_coding
"olfactory receptor, family 10, subfamily T, member 2",1q23.1,ENSG00000186306,OR10T2,protein_coding
ubiquitin specific peptidase 32 pseudogene 1,17p11.2,ENSG00000188933,USP32P1,transcribed_unprocessed_pseudogene
microRNA 1302-4,2q33.3,ENSG00000221628,MIR1302-4,miRNA
HscB mitochondrial iron-sulfur cluster co-chaperone,22q12.1,ENSG00000100209,HSCB,protein_coding
ZFP36 ring finger protein-like 1,14q24.1,ENSG00000185650,ZFP36L1,protein_coding
cilia and flagella associated protein 20,16q21,ENSG00000070761,CFAP20,protein_coding
deoxyribonuclease I-like 1,Xq28,ENSG00000013563,DNASE1L1,protein_coding
T cell receptor associated transmembrane adaptor 1,3q13.13,ENSG00000163519,TRAT1,protein_coding
phosphoglycerate mutase 2 (muscle),7p13,ENSG00000164708,PGAM2,protein_coding
KIAA1549,7q34,ENSG00000122778,KIAA1549,protein_coding
DAZ associated protein 1,19p13.3,ENSG00000071626,DAZAP1,protein_coding
N-6 adenine-specific DNA methyltransferase 2 (putative),13q12.11,ENSG00000150456,N6AMT2,protein_coding
keratin associated protein 25-1,21q22.11,ENSG00000232263,KRTAP25-1,protein_coding
interleukin 17 receptor C,3p25.3,ENSG00000163702,IL17RC,protein_coding
"C-type lectin domain family 4, member C",12p13.31,ENSG00000198178,CLEC4C,protein_coding
zinc finger protein 516,18q23,ENSG00000101493,ZNF516,protein_coding
ATP6V1G2-DDX39B readthrough (NMD candidate),6p21.33,ENSG00000254870,ATP6V1G2-DDX39B,protein_coding
"zinc finger family member 767, pseudogene",7q36.1,ENSG00000133624,ZNF767P,transcribed_unprocessed_pseudogene
methyl-CpG binding domain protein 4,3q21.3,ENSG00000129071,MBD4,protein_coding
"glutamate receptor, ionotropic, kainate 1",21q21.3,ENSG00000171189,GRIK1,protein_coding
perilipin 1,15q26.1,ENSG00000166819,PLIN1,protein_coding
"opsin 1 (cone pigments), short-wave-sensitive",7q32.1,ENSG00000128617,OPN1SW,protein_coding
abl-interactor 1,10p12.1,ENSG00000136754,ABI1,protein_coding
sushi domain containing 1,9q31.3,ENSG00000106868,SUSD1,protein_coding
nuclear RNA export factor 5,Xq22.1,ENSG00000126952,NXF5,protein_coding
AC069368.3,15q22.31,ENSG00000249240,AC069368.3,protein_coding
peroxisome proliferator-activated receptor gamma,3p25.2,ENSG00000132170,PPARG,protein_coding
echinoderm microtubule associated protein like 1,14q32.2,ENSG00000066629,EML1,protein_coding
arylsulfatase F,Xp22.33,ENSG00000062096,ARSF,protein_coding
"neurexophilin and PC-esterase domain family, member 3",3q12.3,ENSG00000144815,NXPE3,protein_coding
"solute carrier family 16, member 13",17p13.1,ENSG00000174327,SLC16A13,protein_coding
MMS19 nucleotide excision repair homolog (S. cerevisiae),10q24.1,ENSG00000155229,MMS19,protein_coding
neuron-derived neurotrophic factor,4q27,ENSG00000173376,NDNF,protein_coding
chromosome 20 open reading frame 85,20q13.32,ENSG00000124237,C20orf85,protein_coding
"solute carrier family 25, member 45",11q13.1,ENSG00000162241,SLC25A45,protein_coding
"tumor necrosis factor (ligand) superfamily, member 14",19p13.3,ENSG00000125735,TNFSF14,protein_coding
SRY (sex determining region Y)-box 10,22q13.1,ENSG00000100146,SOX10,protein_coding
suppressor of tumorigenicity 20,15q25.1,ENSG00000180953,ST20,protein_coding
dynein regulatory complex subunit 1,2p23.3,ENSG00000157856,DRC1,protein_coding
lactate dehydrogenase A-like 6A,11p15.1,ENSG00000166800,LDHAL6A,protein_coding
immunoglobulin-like domain containing receptor 2,1q24.1,ENSG00000143195,ILDR2,protein_coding
LUC7-like 3 (S. cerevisiae),17q21.33,ENSG00000108848,LUC7L3,protein_coding
immunoglobulin kappa variable 1D-33,2p11.2,ENSG00000239975,IGKV1D-33,IG_V_gene
cyclin-dependent kinase 8,13q12.13,ENSG00000132964,CDK8,protein_coding
ZXD family zinc finger C,3q21.3,ENSG00000070476,ZXDC,protein_coding
"histone cluster 2, H2bf",1q21.2,ENSG00000203814,HIST2H2BF,protein_coding
cancer susceptibility candidate 3,17q21.1,ENSG00000108349,CASC3,protein_coding
translocase of inner mitochondrial membrane 17 homolog B (yeast),Xp11.23,ENSG00000126768,TIMM17B,protein_coding
GCN1 general control of amino-acid synthesis 1-like 1 (yeast),12q24.23,ENSG00000089154,GCN1L1,protein_coding
adrenoceptor alpha 1B,5q33.3,ENSG00000170214,ADRA1B,protein_coding
kelch domain containing 1,14q21.3,ENSG00000197776,KLHDC1,protein_coding
"mucin 4, cell surface associated",3q29,ENSG00000145113,MUC4,protein_coding
"olfactory receptor, family 52, subfamily J, member 3",11p15.4,ENSG00000205495,OR52J3,protein_coding
microRNA 30a,6q13,ENSG00000207827,MIR30A,miRNA
phosphoinositide-interacting regulator of transient receptor potential channels,17p12,ENSG00000233670,PIRT,protein_coding
B-cell CLL/lymphoma 11A (zinc finger protein),2p16.1,ENSG00000119866,BCL11A,protein_coding
zinc finger protein 395,8p21.1,ENSG00000186918,ZNF395,protein_coding
RP11-944L7.5,,ENSG00000273303,RP11-944L7.5,protein_coding
coiled-coil domain containing 3,10p13,ENSG00000151468,CCDC3,protein_coding
engrailed homeobox 1,2q14.2,ENSG00000163064,EN1,protein_coding
suppressor of Ty 20 homolog (S. cerevisiae)-like 1,Xp22.11,ENSG00000223731,SUPT20HL1,processed_pseudogene
peptide deformylase (mitochondrial),16q22.1,ENSG00000258429,PDF,protein_coding
"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",16p11.2,ENSG00000099377,HSD3B7,protein_coding
V-set and transmembrane domain containing 2A,7p11.2,ENSG00000170419,VSTM2A,protein_coding
PPP5 tetratricopeptide repeat domain containing 1,19q13.32,ENSG00000230510,PPP5D1,protein_coding
"phospholipase A2, group VI (cytosolic, calcium-independent)",22q13.1,ENSG00000184381,PLA2G6,protein_coding
"olfactory receptor, family 2, subfamily T, member 2",1q44,ENSG00000196240,OR2T2,protein_coding
"phospholipase A2, group IVD (cytosolic)",15q15.1,ENSG00000159337,PLA2G4D,protein_coding
glutathione S-transferase alpha 1,6p12.2,ENSG00000243955,GSTA1,protein_coding
"eukaryotic translation initiation factor 3, subunit H",8q23.3,ENSG00000147677,EIF3H,protein_coding
PMS2 C-terminal like pseudogene,7p22.1,ENSG00000187953,PMS2CL,transcribed_unprocessed_pseudogene
chromosome 2 open reading frame 70,2p23.3,ENSG00000173557,C2orf70,protein_coding
zinc finger and BTB domain containing 10,8q21.13,ENSG00000205189,ZBTB10,protein_coding
phosphoglycerate kinase 2,6p12.3,ENSG00000170950,PGK2,protein_coding
programmed cell death 2,6q27,ENSG00000071994,PDCD2,protein_coding
"serine palmitoyltransferase, long chain base subunit 1",9q22.31,ENSG00000090054,SPTLC1,protein_coding
CTD-2410N18.5,5q31.1,ENSG00000272772,CTD-2410N18.5,protein_coding
"small nucleolar RNA, C/D box 115-21",15q11.2,ENSG00000199833,SNORD115-21,snoRNA
syndecan binding protein (syntenin),8q12.1,ENSG00000137575,SDCBP,protein_coding
phosphatidylethanolamine N-methyltransferase,17p11.2,ENSG00000133027,PEMT,protein_coding
keratin associated protein 4-11,17q21.2,ENSG00000212721,KRTAP4-11,protein_coding
KH and NYN domain containing,14q12,ENSG00000100441,KHNYN,protein_coding
uncharacterized FLJ40194,17q21.32,ENSG00000177369,FLJ40194,processed_transcript
NCK-associated protein 5,2q21.2,ENSG00000176771,NCKAP5,protein_coding
lymphatic vessel endothelial hyaluronan receptor 1,11p15.4,ENSG00000133800,LYVE1,protein_coding
zinc finger protein 106,15q15.1,ENSG00000103994,ZNF106,protein_coding
"mucin 15, cell surface associated",11p14.2,ENSG00000169550,MUC15,protein_coding
myocyte enhancer factor 2D,1q22,ENSG00000116604,MEF2D,protein_coding
V-set domain containing T cell activation inhibitor 1,1p13.1,ENSG00000134258,VTCN1,protein_coding
methyl-CpG binding domain protein 2,18q21.2,ENSG00000134046,MBD2,protein_coding
interferon regulatory factor 3,19q13.33,ENSG00000126456,IRF3,protein_coding
"poly(A) binding protein, cytoplasmic 5",Xq21.31,ENSG00000174740,PABPC5,protein_coding
centrosomal protein 152kDa,15q21.1,ENSG00000103995,CEP152,protein_coding
zinc finger protein 618,9q32,ENSG00000157657,ZNF618,protein_coding
PHD finger protein 6,Xq26.2,ENSG00000156531,PHF6,protein_coding
melanocortin 5 receptor,18p11.21,ENSG00000176136,MC5R,protein_coding
acyl-CoA synthetase long-chain family member 6,5q31.1,ENSG00000164398,ACSL6,protein_coding
secretory carrier membrane protein 1,5q14.1,ENSG00000085365,SCAMP1,protein_coding
"solute carrier family 12, member 8",3q21.2,ENSG00000221955,SLC12A8,protein_coding
"CCR4-NOT transcription complex, subunit 4",7q33,ENSG00000080802,CNOT4,protein_coding
v-myb avian myeloblastosis viral oncogene homolog-like 1,8q13.1,ENSG00000185697,MYBL1,protein_coding
"UTP23, small subunit (SSU) processome component, homolog (yeast)",8q24.11,ENSG00000147679,UTP23,protein_coding
egl-9 family hypoxia-inducible factor 1,1q42.2,ENSG00000135766,EGLN1,protein_coding
AC241377.2,1p11.2,ENSG00000281741,AC241377.2,protein_coding
prostate cancer associated transcript 29 (non-protein coding),15q23,ENSG00000259641,PCAT29,lincRNA
F-box and leucine-rich repeat protein 2,3p22.3,ENSG00000153558,FBXL2,protein_coding
myeloid cell nuclear differentiation antigen,1q23.1,ENSG00000163563,MNDA,protein_coding
RP11-379K17.4,3q26.2,ENSG00000239219,RP11-379K17.4,antisense
CDV3 homolog (mouse),3q22.1,ENSG00000091527,CDV3,protein_coding
RAD51 associated protein 1,12p13.32,ENSG00000111247,RAD51AP1,protein_coding
"tubulin, alpha 3d",2q21.1,ENSG00000075886,TUBA3D,protein_coding
"RAB40A, member RAS oncogene family",Xq22.2,ENSG00000172476,RAB40A,protein_coding
lysine (K)-specific demethylase 1B,6p22.3,ENSG00000165097,KDM1B,protein_coding
tyrosylprotein sulfotransferase 1,7q11.21,ENSG00000169902,TPST1,protein_coding
"glutamate receptor, metabotropic 5",11q14.2,ENSG00000168959,GRM5,protein_coding
"solute carrier family 39 (zinc transporter), member 6",18q12.2,ENSG00000141424,SLC39A6,protein_coding
cytoskeleton-associated protein 4,12q23.3,ENSG00000136026,CKAP4,protein_coding
protein kinase C and casein kinase substrate in neurons 1,6p21.31,ENSG00000124507,PACSIN1,protein_coding
leucine rich repeat and Ig domain containing 2,9p21.2,ENSG00000174482,LINGO2,protein_coding
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",3p21.31,ENSG00000114268,PFKFB4,protein_coding
protein prenyltransferase alpha subunit repeat containing 1,9q21.12,ENSG00000188647,PTAR1,protein_coding
"FERM, RhoGEF and pleckstrin domain protein 2",2q37.3,ENSG00000006607,FARP2,protein_coding
AC079776.3,2q21.1,ENSG00000237574,AC079776.3,lincRNA
tetratricopeptide repeat domain 8,14q31.3,ENSG00000165533,TTC8,protein_coding
"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein",20q11.21,ENSG00000125968,ID1,protein_coding
APH1A gamma secretase subunit,1q21.2,ENSG00000117362,APH1A,protein_coding
erythropoietin,7q22.1,ENSG00000130427,EPO,protein_coding
cerebellin 1 precursor,16q12.1,ENSG00000102924,CBLN1,protein_coding
GDP-D-glucose phosphorylase 1,15q26.1,ENSG00000183208,GDPGP1,protein_coding
Y_RNA,7q11.23,ENSG00000199870,Y_RNA,misc_RNA
suppressor of cancer cell invasion,9q33.3,ENSG00000173611,SCAI,protein_coding
Fraser extracellular matrix complex subunit 1,4q21.21,ENSG00000138759,FRAS1,protein_coding
excision repair cross-complementation group 8,5q12.1,ENSG00000049167,ERCC8,protein_coding
AC018902.1,15q21.2,ENSG00000280817,AC018902.1,protein_coding
"myosin, light chain 12A, regulatory, non-sarcomeric",18p11.31,ENSG00000101608,MYL12A,protein_coding
"POTE ankyrin domain family, member A",8p11.1,ENSG00000188877,POTEA,transcribed_unprocessed_pseudogene
"H3 histone, family 3C",12p11.21,ENSG00000188375,H3F3C,protein_coding
RP11-326A13.2,15q26.1,ENSG00000280076,RP11-326A13.2,TEC
early growth response 2,10q21.3,ENSG00000122877,EGR2,protein_coding
KIAA1279,10q22.1,ENSG00000198954,KIAA1279,protein_coding
cytochrome c oxidase subunit VIIb2,4p12,ENSG00000170516,COX7B2,protein_coding
histidine-rich glycoprotein,3q27.3,ENSG00000113905,HRG,protein_coding
Ras-related GTP binding C,1p34.3,ENSG00000116954,RRAGC,protein_coding
"DnaJ (Hsp40) homolog, subfamily C, member 4",11q13.1,ENSG00000110011,DNAJC4,protein_coding
cornichon family AMPA receptor auxiliary protein 4,1q42.11,ENSG00000143771,CNIH4,protein_coding
chromosome 10 open reading frame 54,10q22.1,ENSG00000107738,C10orf54,protein_coding
low density lipoprotein receptor class A domain containing 1,1p32.3,ENSG00000203985,LDLRAD1,protein_coding
suppressor of cytokine signaling 6,18q22.2,ENSG00000170677,SOCS6,protein_coding
isopentenyl-diphosphate delta isomerase 1,10p15.3,ENSG00000067064,IDI1,protein_coding
leucine rich repeat and fibronectin type III domain containing 4,11q13.2,ENSG00000173621,LRFN4,protein_coding
"glycine receptor, beta",4q32.1,ENSG00000109738,GLRB,protein_coding
ras homolog family member Q,2p21,ENSG00000119729,RHOQ,protein_coding
chromosome 9 open reading frame 131,9p13.3,ENSG00000174038,C9orf131,protein_coding
chromosome 8 open reading frame 37,8q22.1,ENSG00000156172,C8orf37,protein_coding
"olfactory receptor, family 1, subfamily S, member 1 (gene/pseudogene)",,ENSG00000172774,OR1S1,protein_coding
epidermal growth factor,4q25,ENSG00000138798,EGF,protein_coding
SEC14-like 2 (S. cerevisiae),22q12.2,ENSG00000100003,SEC14L2,protein_coding
chromosome 6 open reading frame 163,6q15,ENSG00000203872,C6orf163,protein_coding
"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2",8p22,ENSG00000003989,SLC7A2,protein_coding
"RAS, dexamethasone-induced 1",17p11.2,ENSG00000108551,RASD1,protein_coding
"5-hydroxytryptamine (serotonin) receptor 3E, ionotropic",3q27.1,ENSG00000186038,HTR3E,protein_coding
emerin,Xq28,ENSG00000102119,EMD,protein_coding
autism susceptibility candidate 2,7q11.22,ENSG00000158321,AUTS2,protein_coding
polymerase (RNA) II (DNA directed) polypeptide F,22q13.1,ENSG00000100142,POLR2F,protein_coding
"small nucleolar RNA, C/D box 115-8",15q11.2,ENSG00000200726,SNORD115-8,snoRNA
late cornified envelope 4A,1q21.3,ENSG00000187170,LCE4A,protein_coding
lipoma HMGIC fusion partner-like 4,3p25.3,ENSG00000156959,LHFPL4,protein_coding
peripheral myelin protein 22,17p12,ENSG00000109099,PMP22,protein_coding
"NLR family, pyrin domain containing 9",19q13.42,ENSG00000185792,NLRP9,protein_coding
ectonucleoside triphosphate diphosphohydrolase 6 (putative),20p11.21,ENSG00000197586,ENTPD6,protein_coding
AL133335.1,20q13.2,ENSG00000280041,AL133335.1,protein_coding
chromosome 18 open reading frame 63,18q22.3,ENSG00000206043,C18orf63,protein_coding
"solute carrier family 12, member 9",7q22.1,ENSG00000146828,SLC12A9,protein_coding
ribosomal modification protein rimK-like family member A,1p34.2,ENSG00000177181,RIMKLA,protein_coding
proprotein convertase subtilisin/kexin type 4,19p13.3,ENSG00000115257,PCSK4,protein_coding
homeobox A13,7p15.2,ENSG00000106031,HOXA13,protein_coding
ribosomal protein S15,19p13.3,ENSG00000115268,RPS15,protein_coding
erythrocyte membrane protein band 4.1 like 5,2q14.2,ENSG00000115109,EPB41L5,protein_coding
lysosomal protein transmembrane 5,1p35.2,ENSG00000162511,LAPTM5,protein_coding
insulin-like 6,9p24.1,ENSG00000120210,INSL6,protein_coding
AC010646.3,19p13.11,ENSG00000269095,AC010646.3,protein_coding
protein arginine methyltransferase 8,12p13.32,ENSG00000111218,PRMT8,protein_coding
chromosome 1 open reading frame 146,1p22.1,ENSG00000203910,C1orf146,protein_coding
coactivator-associated arginine methyltransferase 1,19p13.2,ENSG00000142453,CARM1,protein_coding
metallothionein 2A,16q13,ENSG00000125148,MT2A,protein_coding
RAS guanyl releasing protein 3 (calcium and DAG-regulated),2p22.3,ENSG00000152689,RASGRP3,protein_coding
"eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa",20q11.22,ENSG00000125977,EIF2S2,protein_coding
acyl-CoA thioesterase 6,14q24.3,ENSG00000205669,ACOT6,protein_coding
charged multivesicular body protein 2A,19q13.43,ENSG00000130724,CHMP2A,protein_coding
golgin B1,3q13.33,ENSG00000173230,GOLGB1,protein_coding
keratin associated protein 1-3,17q21.2,ENSG00000221880,KRTAP1-3,protein_coding
G protein-coupled receptor 89B,1q21.2,ENSG00000188092,GPR89B,protein_coding
pituitary tumor-transforming 2,4p14,ENSG00000250254,PTTG2,protein_coding
melanoma antigen family C1,Xq27.2,ENSG00000155495,MAGEC1,protein_coding
cyclin O,5q11.2,ENSG00000152669,CCNO,protein_coding
adhesion G protein-coupled receptor E5,19p13.12,ENSG00000123146,ADGRE5,protein_coding
"zinc finger protein 271, pseudogene",18q12.2,ENSG00000257267,ZNF271P,unitary_pseudogene
chromosome 10 open reading frame 126,10p12.1,ENSG00000204365,C10orf126,protein_coding
"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5",20q13.13,ENSG00000158470,B4GALT5,protein_coding
"lectin, mannose-binding 2-like",2q11.2,ENSG00000114988,LMAN2L,protein_coding
SH3 domain and tetratricopeptide repeats 1,4p16.1,ENSG00000125089,SH3TC1,protein_coding
sorting nexin 9,6q25.3,ENSG00000130340,SNX9,protein_coding
focadhesin,9p21.3,ENSG00000188352,FOCAD,protein_coding
cell cycle and apoptosis regulator 2,8p21.3,ENSG00000158941,CCAR2,protein_coding
T cell receptor gamma variable 9,7p14.1,ENSG00000211695,TRGV9,TR_V_gene
"B-cell translocation gene 1, anti-proliferative",12q21.33,ENSG00000133639,BTG1,protein_coding
chromosome 4 open reading frame 26,4q21.1,ENSG00000174792,C4orf26,protein_coding
SRY (sex determining region Y)-box 1,13q34,ENSG00000182968,SOX1,protein_coding
TGFB-induced factor homeobox 1,18p11.31,ENSG00000177426,TGIF1,protein_coding
outer dense fiber of sperm tails 2-like,1p22.3,ENSG00000122417,ODF2L,protein_coding
bromodomain and WD repeat domain containing 3,Xq21.1,ENSG00000165288,BRWD3,protein_coding
polymerase (RNA) II (DNA directed) polypeptide D,2q14.3,ENSG00000144231,POLR2D,protein_coding
pseudouridylate synthase 7 homolog (S. cerevisiae)-like,12q12,ENSG00000129317,PUS7L,protein_coding
RAD50 homolog (S. cerevisiae),5q31.1,ENSG00000113522,RAD50,protein_coding
zinc finger protein 705B,8p23.1,ENSG00000215356,ZNF705B,protein_coding
ataxin 7-like 3B,12q21.1,ENSG00000253719,ATXN7L3B,protein_coding
IQ motif containing D,12q24.13,ENSG00000166578,IQCD,protein_coding
uronyl-2-sulfotransferase,6q25.1,ENSG00000111962,UST,protein_coding
pecanex-like 4 (Drosophila),14q23.1,ENSG00000126773,PCNXL4,protein_coding
"zinc finger, imprinted 2",19q13.43,ENSG00000269699,ZIM2,protein_coding
coiled-coil domain containing 184,12q13.11,ENSG00000177875,CCDC184,protein_coding
syndecan 4,20q13.12,ENSG00000124145,SDC4,protein_coding
coagulation factor VIII-associated 3,Xq28,ENSG00000277150,F8A3,protein_coding
"DCN1, defective in cullin neddylation 1, domain containing 5",11q22.3,ENSG00000137692,DCUN1D5,protein_coding
UDP-glucuronate decarboxylase 1,2q12.2,ENSG00000115652,UXS1,protein_coding
"potassium channel, voltage gated Shaw related subfamily C, member 3",19q13.33,ENSG00000131398,KCNC3,protein_coding
leucine rich repeat containing 30,18p11.23,ENSG00000206422,LRRC30,protein_coding
TNF receptor-associated factor 5,1q32.3,ENSG00000082512,TRAF5,protein_coding
RUN domain containing 3A,17q21.31,ENSG00000108309,RUNDC3A,protein_coding
leucine rich repeat containing 17,7q22.1,ENSG00000128606,LRRC17,protein_coding
zinc finger protein 112,19q13.31,ENSG00000062370,ZNF112,protein_coding
sterol O-acyltransferase 1,1q25.2,ENSG00000057252,SOAT1,protein_coding
YY1 transcription factor,14q32.2,ENSG00000100811,YY1,protein_coding
microRNA 485,14q32.31,ENSG00000208027,MIR485,miRNA
ligand dependent nuclear receptor corepressor-like,4p15.31,ENSG00000178177,LCORL,protein_coding
prostaglandin F receptor (FP),1p31.1,ENSG00000122420,PTGFR,protein_coding
zinc finger protein 740,12q13.13,ENSG00000139651,ZNF740,protein_coding
"2'-5'-oligoadenylate synthetase 3, 100kDa",12q24.13,ENSG00000111331,OAS3,protein_coding
fibrillarin,19q13.2,ENSG00000105202,FBL,protein_coding
piggyBac transposable element derived 1,6p22.1,ENSG00000137338,PGBD1,protein_coding
metallothionein 1G,16q13,ENSG00000125144,MT1G,protein_coding
