name,cytoband,symbol,gene_id,biotype
"olfactory receptor, family 10, subfamily H, member 5",19p13.12,OR10H5,ENSG00000172519,protein_coding
"cholinergic receptor, muscarinic 5",15q14,CHRM5,ENSG00000184984,protein_coding
"C3 and PZP-like, alpha-2-macroglobulin domain containing 8",19p13.11,CPAMD8,ENSG00000160111,protein_coding
"golgin A8 family, member K",15q13.3,GOLGA8K,ENSG00000249931,protein_coding
ciliogenesis associated TTC17 interacting protein,2q35,CATIP,ENSG00000158428,protein_coding
coenzyme Q2 4-hydroxybenzoate polyprenyltransferase,4q21.23,COQ2,ENSG00000173085,protein_coding
forkhead box J1,17q25.1,FOXJ1,ENSG00000129654,protein_coding
dynactin 1,2p13.1,DCTN1,ENSG00000204843,protein_coding
"family with sequence similarity 160, member B1",10q25.3,FAM160B1,ENSG00000151553,protein_coding
zinc finger protein 613,19q13.41,ZNF613,ENSG00000176024,protein_coding
Mov10 RISC complex RNA helicase,1p13.2,MOV10,ENSG00000155363,protein_coding
"proteasome (prosome, macropain) subunit, beta type, 7",9q33.3,PSMB7,ENSG00000136930,protein_coding
thyroid peroxidase,2p25.3,TPO,ENSG00000115705,protein_coding
leucine rich repeat containing 57,15q15.2,LRRC57,ENSG00000180979,protein_coding
histidine rich calcium binding protein,19q13.33,HRC,ENSG00000130528,protein_coding
cartilage oligomeric matrix protein,19p13.11,COMP,ENSG00000105664,protein_coding
polymeric immunoglobulin receptor,1q32.1,PIGR,ENSG00000162896,protein_coding
"angio-associated, migratory cell protein",2q35,AAMP,ENSG00000127837,protein_coding
GLI pathogenesis-related 1 like 1,12q21.2,GLIPR1L1,ENSG00000173401,protein_coding
MX dynamin-like GTPase 1,21q22.3,MX1,ENSG00000157601,protein_coding
tyrosyl-DNA phosphodiesterase 2,6p22.3,TDP2,ENSG00000111802,protein_coding
BarH-like homeobox 1,9q34.13,BARHL1,ENSG00000125492,protein_coding
"phospholipase C, epsilon 1",10q23.33,PLCE1,ENSG00000138193,protein_coding
necdin-like 2,15q13.1,NDNL2,ENSG00000185115,protein_coding
AJ271736.1,,AJ271736.1,ENSG00000276543,miRNA
RANBP2-like and GRIP domain containing 8,2q14.1,RGPD8,ENSG00000169629,protein_coding
"histone cluster 3, H2a",1q42.13,HIST3H2A,ENSG00000181218,protein_coding
"olfactory receptor, family 52, subfamily A, member 4, pseudogene",11p15.4,OR52A4P,ENSG00000205494,transcribed_unprocessed_pseudogene
RP11-156P1.3,17q21.32,RP11-156P1.3,ENSG00000262879,processed_transcript
lamin B receptor,1q42.12,LBR,ENSG00000143815,protein_coding
ubiquinol-cytochrome c reductase core protein I,3p21.31,UQCRC1,ENSG00000010256,protein_coding
"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2",19q13.42,LILRB2,ENSG00000131042,protein_coding
"autocrine motility factor receptor, E3 ubiquitin protein ligase",16q13,AMFR,ENSG00000159461,protein_coding
RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae),16p13.11,RRN3,ENSG00000085721,protein_coding
retinoic acid early transcript 1E,6q25.1,RAET1E,ENSG00000164520,protein_coding
transmembrane protein 132D,12q24.33,TMEM132D,ENSG00000151952,protein_coding
afamin,4q13.3,AFM,ENSG00000079557,protein_coding
meiotic nuclear divisions 1 homolog (S. cerevisiae),4q31.3,MND1,ENSG00000121211,protein_coding
EPM2A (laforin) interacting protein 1,3p22.2,EPM2AIP1,ENSG00000178567,protein_coding
lemur tyrosine kinase 3,19q13.33,LMTK3,ENSG00000142235,protein_coding
sorting nexin 20,16q12.1,SNX20,ENSG00000167208,protein_coding
RNA binding motif protein 44,2q37.3,RBM44,ENSG00000177483,protein_coding
LETM1 domain containing 1,12q13.12,LETMD1,ENSG00000050426,protein_coding
zinc finger protein 654,3p11.1,ZNF654,ENSG00000175105,protein_coding
tetratricopeptide repeat domain 23-like,5p13.2,TTC23L,ENSG00000205838,protein_coding
"cancer/testis antigen family 45, member A5",Xq26.3,CT45A5,ENSG00000228836,protein_coding
"potassium channel, voltage gated subfamily E regulatory beta subunit 2",21q22.11,KCNE2,ENSG00000159197,protein_coding
serine/threonine kinase receptor associated protein,12p12.3,STRAP,ENSG00000023734,protein_coding
"helicase with zinc finger 2, transcriptional coactivator",20q13.33,HELZ2,ENSG00000130589,protein_coding
nucleophosmin/nucleoplasmin 3,10q24.32,NPM3,ENSG00000107833,protein_coding
hydroxyprostaglandin dehydrogenase 15-(NAD),4q34.1,HPGD,ENSG00000164120,protein_coding
"solute carrier family 25, member 30",13q14.13,SLC25A30,ENSG00000174032,protein_coding
src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites,20q13.33,SRMS,ENSG00000125508,protein_coding
AC138028.1,16q24.2,AC138028.1,ENSG00000280603,protein_coding
"transmembrane protein 129, E3 ubiquitin protein ligase",4p16.3,TMEM129,ENSG00000168936,protein_coding
"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase",14q11.2,CCNB1IP1,ENSG00000100814,protein_coding
"coatomer protein complex, subunit zeta 1",12q13.13,COPZ1,ENSG00000111481,protein_coding
"membrane associated guanylate kinase, WW and PDZ domain containing 2",7q21.11,MAGI2,ENSG00000187391,protein_coding
zinc finger protein-like 1,11q13.1,ZFPL1,ENSG00000162300,protein_coding
"solute carrier family 23, member 3",2q35,SLC23A3,ENSG00000213901,protein_coding
bestrophin 1,11q12.3,BEST1,ENSG00000167995,protein_coding
lemur tyrosine kinase 2,7q21.3,LMTK2,ENSG00000164715,protein_coding
lipid phosphate phosphatase-related protein type 3,19p13.3,LPPR3,ENSG00000129951,protein_coding
"TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa",10p14,TAF3,ENSG00000165632,protein_coding
ribosomal protein L6,12q24.13,RPL6,ENSG00000089009,protein_coding
"POTE ankyrin domain family, member C",18p11.21,POTEC,ENSG00000183206,protein_coding
fibroblast growth factor 21,19q13.33,FGF21,ENSG00000105550,protein_coding
ubiquitin specific peptidase 41,22q11.21,USP41,ENSG00000161133,protein_coding
nucleoporin 205kDa,7q33,NUP205,ENSG00000155561,protein_coding
"RAB15, member RAS oncogene family",14q23.3,RAB15,ENSG00000139998,protein_coding
zinc finger protein 304,19q13.43,ZNF304,ENSG00000131845,protein_coding
B-cell CLL/lymphoma 7B,7q11.23,BCL7B,ENSG00000106635,protein_coding
"olfactory receptor, family 5, subfamily D, member 16",11q12.1,OR5D16,ENSG00000205029,protein_coding
"ankyrin 2, neuronal",4q25,ANK2,ENSG00000145362,protein_coding
gem (nuclear organelle) associated protein 4,17p13.3,GEMIN4,ENSG00000179409,protein_coding
"glutamate receptor, metabotropic 2",3p21.2,GRM2,ENSG00000164082,protein_coding
"Rhox homeobox family, member 2",Xq24,RHOXF2,ENSG00000131721,protein_coding
ubiquitin specific peptidase 20,9q34.11,USP20,ENSG00000136878,protein_coding
"histone cluster 1, H1t",6p22.2,HIST1H1T,ENSG00000187475,protein_coding
SET nuclear proto-oncogene,9q34.11,SET,ENSG00000119335,protein_coding
carboxypeptidase A3 (mast cell),3q24,CPA3,ENSG00000163751,protein_coding
male-enhanced antigen 1,6p21.1,MEA1,ENSG00000124733,protein_coding
"defensin, beta 135",8p23.1,DEFB135,ENSG00000205883,protein_coding
"olfactory receptor, family 4, subfamily K, member 15",14q11.2,OR4K15,ENSG00000169488,protein_coding
RP11-196G11.1,16p11.2,RP11-196G11.1,ENSG00000255439,protein_coding
"FYVE, RhoGEF and PH domain containing 6",12q22,FGD6,ENSG00000180263,protein_coding
"G protein-coupled receptor, class C, group 5, member B",16p12.3,GPRC5B,ENSG00000167191,protein_coding
GATA binding protein 3,10p14,GATA3,ENSG00000107485,protein_coding
"crystallin, beta A1",17q11.2,CRYBA1,ENSG00000108255,protein_coding
G protein-coupled receptor 101,Xq26.3,GPR101,ENSG00000165370,protein_coding
TWIST neighbor,7p21.1,TWISTNB,ENSG00000105849,protein_coding
AC073107.1,7q11.21,AC073107.1,ENSG00000272693,protein_coding
zinc finger protein 497,19q13.43,ZNF497,ENSG00000174586,protein_coding
thioredoxin-like 1,18q21.31,TXNL1,ENSG00000091164,protein_coding
tropomyosin 3,1q21.3,TPM3,ENSG00000143549,protein_coding
"branched chain keto acid dehydrogenase E1, alpha polypeptide",19q13.2,BCKDHA,ENSG00000248098,protein_coding
immunoglobulin heavy variable 3-49,14q32.33,IGHV3-49,ENSG00000211965,IG_V_gene
"solute carrier family 7 (amino acid transporter light chain, y+L system), member 6",16q22.1,SLC7A6,ENSG00000103064,protein_coding
inositol-tetrakisphosphate 1-kinase,14q32.12,ITPK1,ENSG00000100605,protein_coding
"transient receptor potential cation channel, subfamily V, member 3",17p13.2,TRPV3,ENSG00000167723,protein_coding
mitochondrial calcium uptake 2,13q12.11,MICU2,ENSG00000165487,protein_coding
SPARC related modular calcium binding 2,6q27,SMOC2,ENSG00000112562,protein_coding
"ubiquinol-cytochrome c reductase, complex III subunit XI",19p13.3,UQCR11,ENSG00000267059,protein_coding
"family with sequence similarity 92, member A1",8q22.1,FAM92A1,ENSG00000188343,protein_coding
paired box 6,11p13,PAX6,ENSG00000007372,protein_coding
"polymerase (DNA directed), gamma 2, accessory subunit",17q23.3,POLG2,ENSG00000256525,protein_coding
chromosome 7 open reading frame 49,7q33,C7orf49,ENSG00000122783,protein_coding
"proliferation-associated 2G4, 38kDa",12q13.2,PA2G4,ENSG00000170515,protein_coding
otoconin 90,8q24.22,OC90,ENSG00000253117,protein_coding
AC010547.9,16q22.2,AC010547.9,ENSG00000261611,protein_coding
"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)",11q13.2,NDUFS8,ENSG00000110717,protein_coding
ribonuclease P/MRP 25kDa subunit-like,9p13.3,RPP25L,ENSG00000164967,protein_coding
"SLIT and NTRK-like family, member 5",13q31.2,SLITRK5,ENSG00000165300,protein_coding
BMP and activin membrane-bound inhibitor,10p12.1,BAMBI,ENSG00000095739,protein_coding
LON peptidase N-terminal domain and ring finger 2,2q11.2,LONRF2,ENSG00000170500,protein_coding
"family with sequence similarity 86, member A pseudogene",3q22.1,FAM86HP,ENSG00000253540,transcribed_unprocessed_pseudogene
RP11-295P9.3,10p13,RP11-295P9.3,ENSG00000239665,protein_coding
"parvin, alpha",11p15.3,PARVA,ENSG00000197702,protein_coding
heparan sulfate 6-O-sulfotransferase 3,13q32.1,HS6ST3,ENSG00000185352,protein_coding
"adenosine deaminase, RNA-specific, B1",21q22.3,ADARB1,ENSG00000197381,protein_coding
"CD248 molecule, endosialin",11q13.2,CD248,ENSG00000174807,protein_coding
thioesterase superfamily member 6,8q24.3,THEM6,ENSG00000130193,protein_coding
"N-acetyltransferase 9 (GCN5-related, putative)",17q25.1,NAT9,ENSG00000109065,protein_coding
fibroblast growth factor 1 (acidic),5q31.3,FGF1,ENSG00000113578,protein_coding
homer scaffolding protein 2,15q25.2,HOMER2,ENSG00000103942,protein_coding
transportin 1,5q13.2,TNPO1,ENSG00000083312,protein_coding
"Usher syndrome 2A (autosomal recessive, mild)",1q41,USH2A,ENSG00000042781,protein_coding
"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",11q13.4,ARAP1,ENSG00000186635,protein_coding
MIR31 host gene,9p21.3,MIR31HG,ENSG00000171889,sense_overlapping
JMJD7-PLA2G4B readthrough,15q15.1,JMJD7-PLA2G4B,ENSG00000168970,protein_coding
"interferon, gamma-inducible protein 16",1q23.1,IFI16,ENSG00000163565,protein_coding
cerebral cavernous malformation 2-like,20q11.21,CCM2L,ENSG00000101331,protein_coding
zinc finger protein 592,15q25.3,ZNF592,ENSG00000166716,protein_coding
"cytochrome b561 family, member D2",3p21.31,CYB561D2,ENSG00000114395,protein_coding
negative elongation factor complex member A,4p16.3,NELFA,ENSG00000185049,protein_coding
thymocyte selection associated,6q22.33,THEMIS,ENSG00000172673,protein_coding
"membrane-spanning 4-domains, subfamily A, member 12",11q12.2,MS4A12,ENSG00000071203,protein_coding
follicular dendritic cell secreted protein,4q13.3,FDCSP,ENSG00000181617,protein_coding
TNFSF12-TNFSF13 readthrough,17p13.1,TNFSF12-TNFSF13,ENSG00000248871,protein_coding
alkaline ceramidase 2,9p22.1,ACER2,ENSG00000177076,protein_coding
"RNA, Ro-associated Y4 pseudogene 14",13q14.11,RNY4P14,ENSG00000200526,misc_RNA
ketohexokinase (fructokinase),2p23.3,KHK,ENSG00000138030,protein_coding
clusterin,8p21.1,CLU,ENSG00000120885,protein_coding
WD repeat domain 27,6q27,WDR27,ENSG00000184465,protein_coding
AC110602.1,17q23.2,AC110602.1,ENSG00000281267,protein_coding
placenta-specific 1,Xq26.3,PLAC1,ENSG00000170965,protein_coding
Bardet-Biedl syndrome 4,15q24.1,BBS4,ENSG00000140463,protein_coding
"olfactory receptor, family 2, subfamily AE, member 1",7q22.1,OR2AE1,ENSG00000244623,protein_coding
zonadhesin (gene/pseudogene),7q22.1,ZAN,ENSG00000146839,protein_coding
mediator complex subunit 28,4p15.32,MED28,ENSG00000118579,protein_coding
"histone cluster 1, H2ae",6p22.2,HIST1H2AE,ENSG00000277075,protein_coding
translin,2q14.3,TSN,ENSG00000211460,protein_coding
increased sodium tolerance 1 homolog (yeast),16q22.2,IST1,ENSG00000182149,protein_coding
prostate and testis expressed 4,11q24.2,PATE4,ENSG00000237353,protein_coding
TRK-fused gene,3q12.2,TFG,ENSG00000114354,protein_coding
chromosome 9 open reading frame 72,9p21.2,C9orf72,ENSG00000147894,protein_coding
"zinc finger, DHHC-type containing 4",7p22.1,ZDHHC4,ENSG00000136247,protein_coding
bone marrow stromal cell antigen 1,4p15.32,BST1,ENSG00000109743,protein_coding
chromosome 9 open reading frame 117,9q34.11,C9orf117,ENSG00000160401,protein_coding
WD repeat and FYVE domain containing 1,2q36.1,WDFY1,ENSG00000085449,protein_coding
EYA transcriptional coactivator and phosphatase 1,8q13.3,EYA1,ENSG00000104313,protein_coding
mannose-6-phosphate receptor (cation dependent),12p13.31,M6PR,ENSG00000003056,protein_coding
"biogenesis of lysosomal organelles complex-1, subunit 5, muted",6p24.3,BLOC1S5,ENSG00000188428,protein_coding
"polymerase (RNA) I polypeptide E, 53kDa",9p13.2,POLR1E,ENSG00000137054,protein_coding
DDB1 and CUL4 associated factor 8-like 2,Xp21.3,DCAF8L2,ENSG00000189186,protein_coding
"EGF-like, fibronectin type III and laminin G domains",5p13.2,EGFLAM,ENSG00000164318,protein_coding
ornithine aminotransferase,10q26.13,OAT,ENSG00000065154,protein_coding
EPH receptor A10,1p34.3,EPHA10,ENSG00000183317,protein_coding
chromosome 11 open reading frame 52,11q23.1,C11orf52,ENSG00000149300,protein_coding
tubulin tyrosine ligase-like family member 1,22q13.2,TTLL1,ENSG00000100271,protein_coding
carboxypeptidase B1 (tissue),3q24,CPB1,ENSG00000153002,protein_coding
carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4,16q22.2,CHST4,ENSG00000140835,protein_coding
ring finger protein 185,22q12.2,RNF185,ENSG00000138942,protein_coding
"calcium regulated heat stable protein 1, 24kDa",16p13.2,CARHSP1,ENSG00000153048,protein_coding
apolipoprotein E,19q13.32,APOE,ENSG00000130203,protein_coding
"protein kinase C, gamma",19q13.42,PRKCG,ENSG00000126583,protein_coding
mitochondrial genome maintenance exonuclease 1,20p11.23,MGME1,ENSG00000125871,protein_coding
transcription factor CP2-like 1,2q14.2,TFCP2L1,ENSG00000115112,protein_coding
transmembrane protein 44,3q29,TMEM44,ENSG00000145014,protein_coding
transducin-like enhancer of split 6,19p13.3,TLE6,ENSG00000104953,protein_coding
"protein phosphatase, EF-hand calcium binding domain 2",4q21.1,PPEF2,ENSG00000156194,protein_coding
"solute carrier family 29 (equilibrative nucleoside transporter), member 4",7p22.1,SLC29A4,ENSG00000164638,protein_coding
"RAB23, member RAS oncogene family",6p12.1,RAB23,ENSG00000112210,protein_coding
mitochondrial ribosomal protein L43,10q24.31,MRPL43,ENSG00000055950,protein_coding
"immunoglobulin superfamily, member 8",1q23.2,IGSF8,ENSG00000162729,protein_coding
WD repeat domain 4,21q22.3,WDR4,ENSG00000160193,protein_coding
polypeptide N-acetylgalactosaminyltransferase 5,2q24.1,GALNT5,ENSG00000136542,protein_coding
ubiquitin C,12q24.31,UBC,ENSG00000150991,protein_coding
RP5-874C20.8,6p22.1,RP5-874C20.8,ENSG00000276302,protein_coding
"olfactory receptor, family 1, subfamily J, member 1",9q33.2,OR1J1,ENSG00000136834,protein_coding
PARK2 co-regulated-like,4p15.31,PACRGL,ENSG00000163138,protein_coding
"WAS/WASL interacting protein family, member 2",17q21.2,WIPF2,ENSG00000171475,protein_coding
mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae),17q12,MRM1,ENSG00000278619,protein_coding
"apolipoprotein L, 4",22q12.3,APOL4,ENSG00000100336,protein_coding
"POTE ankyrin domain family, member B",15q11.2,POTEB,ENSG00000233917,protein_coding
Shwachman-Bodian-Diamond syndrome,7q11.21,SBDS,ENSG00000126524,protein_coding
zinc finger protein 192 pseudogene 1,6p22.1,ZNF192P1,ENSG00000226314,transcribed_unprocessed_pseudogene
nicotinamide nucleotide adenylyltransferase 3,3q23,NMNAT3,ENSG00000163864,protein_coding
"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)",22q13.1,RAC2,ENSG00000128340,protein_coding
SET binding factor 1,22q13.33,SBF1,ENSG00000100241,protein_coding
lethal giant larvae homolog 2 (Drosophila),17q25.1,LLGL2,ENSG00000073350,protein_coding
"arylsulfatase family, member I",5q32,ARSI,ENSG00000183876,protein_coding
DENN/MADD domain containing 6B,22q13.33,DENND6B,ENSG00000205593,protein_coding
stromal antigen 1,3q22.3,STAG1,ENSG00000118007,protein_coding
sorting nexin 8,7p22.3,SNX8,ENSG00000106266,protein_coding
"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B",17q25.2,MGAT5B,ENSG00000167889,protein_coding
"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",2p23.3,CAD,ENSG00000084774,protein_coding
chromosome 11 open reading frame 65,11q22.3,C11orf65,ENSG00000166323,protein_coding
"protein tyrosine phosphatase, receptor type, Q",12q21.31,PTPRQ,ENSG00000139304,protein_coding
superkiller viralicidic activity 2-like (S. cerevisiae),6p21.33,SKIV2L,ENSG00000204351,protein_coding
"CSAG family, member 2",Xq28,CSAG2,ENSG00000268902,transcribed_unprocessed_pseudogene
"peroxisomal, testis specific 1",6p21.31,PXT1,ENSG00000179165,protein_coding
CTD-2278I10.6,19p13.11,CTD-2278I10.6,ENSG00000269307,protein_coding
"DnaJ (Hsp40) homolog, subfamily C, member 21",5p13.2,DNAJC21,ENSG00000168724,protein_coding
regulator of G-protein signaling 13,1q31.2,RGS13,ENSG00000127074,protein_coding
olfactomedin-like 2A,9q33.3,OLFML2A,ENSG00000185585,protein_coding
transcription elongation factor A (SII) N-terminal and central domain containing,Xp22.2,TCEANC,ENSG00000176896,protein_coding
phosphoribosyl pyrophosphate amidotransferase,4q12,PPAT,ENSG00000128059,protein_coding
"NOP2/Sun domain family, member 4",1p33,NSUN4,ENSG00000117481,protein_coding
"zinc finger, matrin-type 5",22q12.2,ZMAT5,ENSG00000100319,protein_coding
"potassium channel, voltage gated eag related subfamily H, member 5",14q23.2,KCNH5,ENSG00000140015,protein_coding
LanC lantibiotic synthetase component C-like 1 (bacterial),2q34,LANCL1,ENSG00000115365,protein_coding
"family with sequence similarity 129, member B",9q34.11,FAM129B,ENSG00000136830,protein_coding
lysozyme-like 2,10p11.23,LYZL2,ENSG00000151033,protein_coding
A kinase (PRKA) anchor protein 17A,Xp22.33,AKAP17A,ENSG00000197976,protein_coding
atrophin 1,12p13.31,ATN1,ENSG00000111676,protein_coding
"interleukin 1 family, member 10 (theta)",2q14.1,IL1F10,ENSG00000136697,protein_coding
"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",5p15.33,SDHA,ENSG00000073578,protein_coding
peroxiredoxin 5,11q13.1,PRDX5,ENSG00000126432,protein_coding
"UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)",5q13.2,UTP15,ENSG00000164338,protein_coding
astrotactin 1,1q25.2,ASTN1,ENSG00000152092,protein_coding
kin of IRRE like 2 (Drosophila),19q13.12,KIRREL2,ENSG00000126259,protein_coding
zinc finger protein 772,19q13.43,ZNF772,ENSG00000197128,protein_coding
"casein kinase 1, gamma 2",19p13.3,CSNK1G2,ENSG00000133275,protein_coding
RP11-724O16.1,2q31.1,RP11-724O16.1,ENSG00000251569,protein_coding
mitochondrial ribosomal protein L50,9q31.1,MRPL50,ENSG00000136897,protein_coding
"zinc finger, CCHC domain containing 17",1p35.2,ZCCHC17,ENSG00000121766,protein_coding
estrogen receptor 1,6q25.1,ESR1,ENSG00000091831,protein_coding
MAP3K12 binding inhibitory protein 1,14q13.3,MBIP,ENSG00000151332,protein_coding
"aldehyde dehydrogenase 1 family, member A2",15q21.3,ALDH1A2,ENSG00000128918,protein_coding
leucine rich repeat neuronal 4,20p12.3,LRRN4,ENSG00000125872,protein_coding
kelch-like family member 10,17q21.2,KLHL10,ENSG00000161594,protein_coding
signal transducing adaptor molecule (SH3 domain and ITAM motif) 2,2q23.3,STAM2,ENSG00000115145,protein_coding
Rho guanine nucleotide exchange factor (GEF) 12,11q23.3,ARHGEF12,ENSG00000196914,protein_coding
zinc finger protein 488,10q11.22,ZNF488,ENSG00000265763,protein_coding
histamine receptor H2,5q35.2,HRH2,ENSG00000113749,protein_coding
microRNA 1283-2,19q13.42,MIR1283-2,ENSG00000221548,miRNA
low density lipoprotein receptor-related protein 4,11p11.2,LRP4,ENSG00000134569,protein_coding
"lens intrinsic membrane protein 2, 19kDa",19q13.41,LIM2,ENSG00000105370,protein_coding
"secretoglobin, family 2A, member 1",11q12.3,SCGB2A1,ENSG00000124939,protein_coding
IQ motif containing F3,3p21.2,IQCF3,ENSG00000229972,protein_coding
B-cell receptor-associated protein 29,7q22.3,BCAP29,ENSG00000075790,protein_coding
dedicator of cytokinesis 9,13q32.3,DOCK9,ENSG00000088387,protein_coding
mex-3 RNA binding family member B,15q25.2,MEX3B,ENSG00000183496,protein_coding
"linker for activation of T cells family, member 2",7q11.23,LAT2,ENSG00000086730,protein_coding
"glucose-6-phosphatase, catalytic subunit",17q21.31,G6PC,ENSG00000131482,protein_coding
myelin regulatory factor,11q12.2,MYRF,ENSG00000124920,protein_coding
"family with sequence similarity 118, member A",22q13.31,FAM118A,ENSG00000100376,protein_coding
C-type lectin-like 1,12p13.31,CLECL1,ENSG00000184293,protein_coding
CD300e molecule,17q25.1,CD300E,ENSG00000186407,protein_coding
"protein phosphatase 1, regulatory subunit 36",14q23.3,PPP1R36,ENSG00000165807,protein_coding
"basic leucine zipper transcription factor, ATF-like 3",1q32.3,BATF3,ENSG00000123685,protein_coding
sterile alpha and TIR motif containing 1,17q11.2,SARM1,ENSG00000004139,protein_coding
kelch-like family member 17,1p36.33,KLHL17,ENSG00000187961,protein_coding
"caspase 8, apoptosis-related cysteine peptidase",2q33.1,CASP8,ENSG00000064012,protein_coding
ribosomal protein SA pseudogene 58,,RPSAP58,ENSG00000205246,protein_coding
patatin-like phospholipase domain containing 4,Xp22.31,PNPLA4,ENSG00000006757,protein_coding
"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2",3q24,PLOD2,ENSG00000152952,protein_coding
protein kinase D1,14q12,PRKD1,ENSG00000184304,protein_coding
transcriptional adaptor 2A,17q12,TADA2A,ENSG00000276234,protein_coding
homeobox A2,7p15.2,HOXA2,ENSG00000105996,protein_coding
lymphocyte cytosolic protein 1 (L-plastin),13q14.13,LCP1,ENSG00000136167,protein_coding
G patch domain containing 8,17q21.31,GPATCH8,ENSG00000186566,protein_coding
"purinergic receptor P2Y, G-protein coupled, 11",19p13.2,P2RY11,ENSG00000244165,protein_coding
"leucine, glutamate and lysine rich 1",3q25.31,LEKR1,ENSG00000197980,protein_coding
"deiodinase, iodothyronine, type II",14q31.1,DIO2,ENSG00000211448,protein_coding
ubiquitin specific peptidase 17-like family member 25,4p16.1,USP17L25,ENSG00000230430,protein_coding
"sodium channel, non voltage gated 1 alpha subunit",12p13.31,SCNN1A,ENSG00000111319,protein_coding
adhesion G protein-coupled receptor D1,12q24.33,ADGRD1,ENSG00000111452,protein_coding
chromosome 1 open reading frame 198,1q42.2,C1orf198,ENSG00000119280,protein_coding
mannosyl-oligosaccharide glucosidase,2p13.1,MOGS,ENSG00000115275,protein_coding
LIM domain binding 2,4p15.32,LDB2,ENSG00000169744,protein_coding
"protein phosphatase 1, regulatory subunit 12C",19q13.42,PPP1R12C,ENSG00000125503,protein_coding
G protein-coupled receptor 148,2q21.1,GPR148,ENSG00000173302,protein_coding
SRY (sex determining region Y)-box 13,1q32.1,SOX13,ENSG00000143842,protein_coding
"lectin, galactoside-binding, soluble, 7",19q13.2,LGALS7,ENSG00000205076,protein_coding
"glucuronidase, beta",7q11.21,GUSB,ENSG00000169919,protein_coding
"family with sequence similarity 65, member A",16q22.1,FAM65A,ENSG00000039523,protein_coding
titin-cap,17q12,TCAP,ENSG00000173991,protein_coding
"potassium channel, voltage gated shaker related subfamily A, member 6",12p13.32,KCNA6,ENSG00000151079,protein_coding
diaphanous-related formin 1,5q31.3,DIAPH1,ENSG00000131504,protein_coding
zinc finger RNA binding protein 2,19p13.3,ZFR2,ENSG00000105278,protein_coding
AC104581.1,17p13.1,AC104581.1,ENSG00000281523,protein_coding
zinc finger protein 420,19q13.12,ZNF420,ENSG00000197050,protein_coding
zinc finger protein 354B,5q35.3,ZNF354B,ENSG00000178338,protein_coding
metastasis associated 1,14q32.33,MTA1,ENSG00000182979,protein_coding
chromosome 19 open reading frame 38,19p13.2,C19orf38,ENSG00000214212,protein_coding
"olfactory receptor, family 4, subfamily D, member 5",11q24.1,OR4D5,ENSG00000171014,protein_coding
golgin A6 family-like 4,15q25.2,GOLGA6L4,ENSG00000184206,protein_coding
even-skipped homeobox 2,2q31.1,EVX2,ENSG00000174279,protein_coding
"Sin3A-associated protein, 130kDa",2q14.3,SAP130,ENSG00000136715,protein_coding
cell death-inducing DFFA-like effector b,14q12,CIDEB,ENSG00000136305,protein_coding
hydrolethalus syndrome 1,11q24.2,HYLS1,ENSG00000198331,protein_coding
SH2 domain containing 4A,8p21.3,SH2D4A,ENSG00000104611,protein_coding
"exportin, tRNA",12q14.2,XPOT,ENSG00000184575,protein_coding
ribosomal protein L39-like,3q27.3,RPL39L,ENSG00000163923,protein_coding
dyslexia susceptibility 1 candidate 1,15q21.3,DYX1C1,ENSG00000256061,protein_coding
"gap junction protein, beta 2, 26kDa",13q12.11,GJB2,ENSG00000165474,protein_coding
immunoglobulin kappa variable 1D-8,2p11.2,IGKV1D-8,ENSG00000239819,IG_V_gene
TOX high mobility group box family member 2,20q13.12,TOX2,ENSG00000124191,protein_coding
interleukin 18,11q23.1,IL18,ENSG00000150782,protein_coding
"PPARGC1 and ESRR induced regulator, muscle 1",1p36.33,PERM1,ENSG00000187642,protein_coding
"origin recognition complex, subunit 4",2q23.1,ORC4,ENSG00000115947,protein_coding
"protein phosphatase 2, catalytic subunit, beta isozyme",8p12,PPP2CB,ENSG00000104695,protein_coding
nitrogen permease regulator-like 3 (S. cerevisiae),16p13.3,NPRL3,ENSG00000103148,protein_coding
chromosome 7 open reading frame 62,7q21.13,C7orf62,ENSG00000164645,protein_coding
chromosome 5 open reading frame 63,5q23.2,C5orf63,ENSG00000164241,protein_coding
coxsackie virus and adenovirus receptor pseudogene 3,18p11.21,CXADRP3,ENSG00000265766,lincRNA
SRY (sex determining region Y)-box 15,17p13.1,SOX15,ENSG00000129194,protein_coding
